"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"11",-8.77046757629097e-317,-8.53960848635261e-317,-8.51149269264472e-317,-8.75876661960051e-317,-8.53960848635261e-317,-8.51149269264472e-317,-8.75876661960051e-317,-8.77046757629097e-317,-8.51149269264472e-317,-8.75876661960051e-317,-8.77046757629097e-317,-8.53960848635261e-317
"12",-2.3687025325359e-316,-2.30495235293484e-316,-2.3091558140431e-316,-2.37681133554171e-316,-2.30495235293484e-316,-2.3091558140431e-316,-2.37681133554171e-316,-2.3687025325359e-316,-2.3091558140431e-316,-2.37681133554171e-316,-2.3687025325359e-316,-2.30495235293484e-316
"13",-6.41048806917178e-316,-6.27627948425669e-316,-6.24247813131616e-316,-6.39916527032665e-316,-6.27627948425669e-316,-6.24247813131616e-316,-6.39916527032665e-316,-6.41048806917178e-316,-6.24247813131616e-316,-6.39916527032665e-316,-6.41048806917178e-316,-6.27627948425669e-316
"14",-1.75409045699185e-315,-1.7182809841151e-315,-1.70437432569601e-315,-1.75961350815226e-315,-1.7182809841151e-315,-1.70437432569601e-315,-1.75961350815226e-315,-1.75409045699185e-315,-1.70437432569601e-315,-1.75961350815226e-315,-1.75409045699185e-315,-1.7182809841151e-315
"15",-4.75028800959141e-315,-4.62466584094195e-315,-4.83921229134173e-315,-4.77510765422438e-315,-4.62466584094195e-315,-4.83921229134173e-315,-4.77510765422438e-315,-4.75028800959141e-315,-4.83921229134173e-315,-4.77510765422438e-315,-4.75028800959141e-315,-4.62466584094195e-315
"16",-1.28759062086285e-314,-1.25912297583495e-314,-1.27806508511166e-314,-1.30111993516274e-314,-1.25912297583495e-314,-1.27806508511166e-314,-1.30111993516274e-314,-1.28759062086285e-314,-1.27806508511166e-314,-1.30111993516274e-314,-1.28759062086285e-314,-1.25912297583495e-314
"17",-3.52426626010411e-314,-3.42626495144336e-314,-3.42463191626416e-314,-3.53207664301323e-314,-3.42626495144336e-314,-3.42463191626416e-314,-3.53207664301323e-314,-3.52426626010411e-314,-3.42463191626416e-314,-3.53207664301323e-314,-3.52426626010411e-314,-3.42626495144336e-314
"18",-9.54327134277132e-314,-9.3156116396452e-314,-9.32133448650621e-314,-9.58542464126769e-314,-9.3156116396452e-314,-9.32133448650621e-314,-9.58542464126769e-314,-9.54327134277132e-314,-9.32133448650621e-314,-9.58542464126769e-314,-9.54327134277132e-314,-9.3156116396452e-314
"19",-2.59983243324393e-313,-2.52837029631782e-313,-2.5269413406848e-313,-2.60680402766515e-313,-2.52837029631782e-313,-2.5269413406848e-313,-2.60680402766515e-313,-2.59983243324393e-313,-2.5269413406848e-313,-2.60680402766515e-313,-2.59983243324393e-313,-2.52837029631782e-313
"20",-7.08241608834017e-313,-6.8921732265597e-313,-6.89129929073581e-313,-7.10867531595821e-313,-6.8921732265597e-313,-6.89129929073581e-313,-7.10867531595821e-313,-7.08241608834017e-313,-6.89129929073581e-313,-7.10867531595821e-313,-7.08241608834017e-313,-6.8921732265597e-313
